,Unnamed: 0,date,open,high,low,close,volume
1445,1926,2023-05-26 13:19:00+00:00,185.13,185.13,185,185,2033
1446,1927,2023-05-26 13:20:00+00:00,185.09,185.11,185,185.1,1250
1447,1928,2023-05-26 13:21:00+00:00,185.02,185.35,185.02,185.35,7502
1448,1929,2023-05-26 13:22:00+00:00,185.36,185.39,185.11,185.19,6573
1449,1930,2023-05-26 13:23:00+00:00,185.2,185.2,185.1,185.18,2907
1450,1931,2023-05-26 13:24:00+00:00,185.16,185.2,185.09,185.2,4308
1451,1932,2023-05-26 13:25:00+00:00,185.12,185.15,184.9,184.92,11904
1452,1933,2023-05-26 13:26:00+00:00,184.92,185.01,184.79,185,8141
1453,1934,2023-05-26 13:27:00+00:00,185,185,184.51,184.91,19126
1454,1935,2023-05-26 13:28:00+00:00,184.91,184.91,184.5,184.54,6073
1455,1936,2023-05-26 13:29:00+00:00,184.55,184.62,184.51,184.51,8318
1456,1937,2023-05-26 13:30:00+00:00,184.62,185.41,184.53,185.37,742369
1457,1938,2023-05-26 13:31:00+00:00,185.37,185.78,185,185.59,550929
1458,1939,2023-05-26 13:32:00+00:00,185.6,186.09,185.47,185.9,584744
1459,1940,2023-05-26 13:33:00+00:00,185.89,186.58,185.86,186.5,629170
1460,1941,2023-05-26 13:34:00+00:00,186.5,186.97,186.35,186.73,555717
1461,1942,2023-05-26 13:35:00+00:00,186.71,187.3,186.06,187.09,899875
1462,1943,2023-05-26 13:36:00+00:00,187.11,187.91,187.1,187.84,827776
1463,1944,2023-05-26 13:37:00+00:00,187.84,188.24,187.75,187.97,702405
1464,1945,2023-05-26 13:38:00+00:00,187.98,188.35,187.83,188.33,607706
1465,1946,2023-05-26 13:39:00+00:00,188.34,188.4,187.77,187.94,634956
1466,1947,2023-05-26 13:40:00+00:00,187.94,188.25,187.78,188.17,596928
1467,1948,2023-05-26 13:41:00+00:00,188.17,188.21,187.96,188.05,315549
1468,1949,2023-05-26 13:42:00+00:00,188.06,188.18,187.76,188.18,612039
1469,1950,2023-05-26 13:43:00+00:00,188.18,188.27,187.83,187.86,521245
1470,1951,2023-05-26 13:44:00+00:00,187.85,188.05,187.52,187.53,452182
1471,1952,2023-05-26 13:45:00+00:00,187.52,187.85,187.45,187.68,406187
1472,1953,2023-05-26 13:46:00+00:00,187.68,187.8,187.16,187.38,483357
1473,1954,2023-05-26 13:47:00+00:00,187.38,187.41,187.18,187.24,352054
1474,1955,2023-05-26 13:48:00+00:00,187.24,187.73,186.97,187.73,666755
1475,1956,2023-05-26 13:49:00+00:00,187.73,188.16,187.29,187.34,606417
1476,1957,2023-05-26 13:50:00+00:00,187.34,187.89,187.3,187.84,335555
1477,1958,2023-05-26 13:51:00+00:00,187.84,188.16,187.81,188.01,463237
1478,1959,2023-05-26 13:52:00+00:00,188.01,188.15,187.73,188.02,361609
1479,1960,2023-05-26 13:53:00+00:00,187.99,188.57,187.95,188.56,672902
1480,1961,2023-05-26 13:54:00+00:00,188.58,188.63,188.08,188.38,453064
1481,1962,2023-05-26 13:55:00+00:00,188.37,188.65,188.3,188.48,402100
1482,1963,2023-05-26 13:56:00+00:00,188.45,188.96,188.42,188.88,505880
1483,1964,2023-05-26 13:57:00+00:00,188.87,189.22,188.71,189.15,726770
